VAA20

Projekt-ID	729893
URL der Umfrage	https://ww2.unipark.de/uc/mauve_Heinrich-Heine-Universit__/dec0/
Datum	09.12.2020 10:46:21

1 Seite: System (PGID 4650162)


3 Seite: Politisches Interesse 1 (PGID 4822338)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8841496 - Typ 311)
	147	Sony Ericsson
	148	Softbank
	149	SFR
	150	Sagem
	151	Sharp
	152	Siemens
	153	Sendo
	154	Sony
	155	Spice
	156	SuperSonic
	157	Selevision
	158	Sanyo
	159	Symphony
	160	Smart
	161	Storex
	162	Sumvision
	163	Tesla
	164	TCL
	165	Telit
	166	TiPhone
	167	Tecno Mobile
	168	TIANYU
	169	Telefunken
	170	T-Mobile
	171	Thomson
	172	Tolino
	173	Toplux
	174	Toshiba
	175	TechnoTrend
	176	Tunisie Telecom
	177	TVC
	178	TechniSat
	179	teXet
	180	UTStarcom
	181	Videocon
	182	Vertu
	183	Vitelcom
	184	VK Mobile
	185	ViewSonic
	186	Vestel
	187	Voxtel
	188	Videoweb
	189	Web TV
	190	WellcoM
	191	Wiko
	192	Wolder
	193	Wonu
	194	Woxter
	195	Xiaomi
	196	Yuandao
	197	Zonda
	198	Zopo
	199	ZTE
	200	3Q
	201	Ainol
	202	Allview
	203	Altech UEC
	204	Amazon
	205	ARRIS
	206	Airties
	207	Axxion
	208	Boway
	209	Brondi
	210	Bush
	211	CUBOT
	212	Carrefour
	213	Captiva
	214	Casio
	215	Changhong
	216	Crosscall
	217	Cowon
	218	Datang
	219	Desay
	220	DNS
	221	Doov
	222	Dune HD
	223	EBEST
	224	ECS
	225	Elephone
	226	Energy Sistem
	227	Eton
	228	Fairphone
	229	Foxconn
	230	Garmin-Asus
	231	GOCLEVER
	232	Goly
	233	Hasee
	234	Hisense
	235	Hi-Level
	236	Hosin
	237	Hyundai
	238	i-Joy
	239	iOcean
	240	iNew
	241	iTel
	242	Kingsun
	243	Komu
	244	Koobee
	245	KOPO
	246	Koridy
	247	Kumai
	248	Le Pan
	249	Lingwin
	250	Majestic
	251	Mecer
	252	MEEG
	253	Meizu
	254	Mediacom
	255	Mofut
	256	MLLED
	257	M.T.T.
	258	Netgear
	259	Noain
